,RegionID,RegionName,City,State,Metro,CountyName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2000_agg,2010_agg,pct_delta
1404,93297,80221,Sherrelwood,CO,Denver,Adams,1405,85.2735,83.676,90.6344,87.091,86.3349,94.5562,94.6718,81.0768,77.5949,85.8046,94.6847,97.8487,98.3505,97.8862,95.1826,98.4688,99.9392,99.6935,99.4765,96.3165,96.5409,97.5707,97.8474,101.0516,102.9289,107.5732,110.6229,107.3289,104.8619,103.2478,107.7727,105.9339,107.634,106.425,108.492,110.5085,110.651,110.3048,114.6307,118.2188,120.9061,123.1734,124.332,122.0171,125.8655,128.1668,136.1025,137.0351,140.5821,130.004,132.4215,138.7371,143.3431,140.5811,142.4329,146.0854,149.3511,142.6519,143.2021,149.2386,160.8677,169.9897,168.0035,163.2997,160.3775,156.8836,157.431,160.1983,165.4485,160.7412,143.5518,144.7991,154.0924,164.6634,166.0425,166.5489,167.2102,170.9394,173.0321,166.6091,164.1329,169.0372,169.4259,171.8958,169.9285,170.2177,172.4085,170.634,173.1947,167.2588,164.52,168.5378,169.4081,167.1592,170.2307,170.843,168.4104,166.7511,165.7626,169.5218,164.0757,163.2218,164.9541,169.3867,163.6466,157.1286,161.266,163.7187,163.7808,168.3742,165.021,163.6298,157.1511,163.7622,159.0599,155.1357,153.2729,154.2011,152.3424,162.6864,170.8804,164.9127,155.3575,153.9304,166.4782,166.5451,160.9297,154.6058,146.4975,143.5757,136.0493,137.4126,132.8107,139.5609,145.6371,151.2742,153.2294,150.116,155.3856,158.9387,144.5928,147.9459,,111.4106,116.1904,119.565,142.8313,127.5504,119.3281,103.8864,108.9269,125.4739,128.3137,123.9257,,,,112.5991,111.3913,107.0067,116.8123,154.4344,150.0993,138.5135,134.4961,130.9149,139.1981,142.8318,144.2136,147.5934,150.8431,148.5472,149.2447,152.7763,133.2302,133.9633,124.913,133.8728,,155.1369,145.2509,136.9223,132.917,139.655,141.0493,141.9114,141.9485,142.495,131.353,139.8446,142.9972,140.3336,138.1998,144.4447,157.9049,155.1726,154.5946,150.5504,144.696,141.239,151.1245,139.2737,151.8356,158.4507,159.5269,163.0284,169.4269,165.9412,174.4712,179.0459,177.9622,179.7999,181.5966,177.5546,172.1121,178.659,188.6406,185.4025,190.4528,199.2047,203.7664,199.2435,204.6225,214.2817,214.0987,203.8056,199.6023,209.4844,225.9204,236.9983,231.8202,240.0533,231.268,230.8478,240.5294,125.7479,129.571133333,1.03040395373
1411,86020,63366,O Fallon,MO,St. Louis,Saint Charles,1412,70.1853,70.0128,69.7165,70.8512,72.7691,72.0172,70.8201,71.6323,71.8147,70.3861,71.6638,74.1717,74.9037,75.6672,75.1826,73.6785,74.0164,74.259,75.6696,73.1326,74.4184,73.8853,78.7675,76.936,78.3357,78.2042,78.8693,77.7316,78.2113,77.9045,76.0318,76.0546,78.2699,78.5974,78.6018,77.414,78.413,77.7309,80.7581,82.362,82.7823,82.3251,81.4828,82.8219,85.4456,85.6327,85.1139,88.6637,88.1447,89.104,90.8521,91.0363,91.4529,94.279,95.2363,95.8162,95.5573,94.0618,93.2613,95.5804,96.9139,97.7645,99.0998,96.3694,96.6267,96.4134,99.6923,102.5224,101.8349,101.9909,103.6459,104.7415,105.2362,103.3283,104.1761,104.9112,105.7283,105.4465,104.5101,106.6537,107.1743,107.7594,112.3046,112.645,111.1045,109.5118,114.4294,116.6185,112.6216,109.7739,109.5311,114.6673,116.1453,114.2402,111.017,110.7584,112.0655,114.7051,117.3383,119.5286,119.9441,120.5254,120.3712,118.6722,117.5679,119.7123,119.3058,120.9574,122.6262,123.4399,123.5489,124.6046,125.7955,125.4441,123.0772,124.1624,122.6431,125.7031,126.0019,128.8335,127.4062,127.4823,126.3379,128.8203,127.2684,130.6961,134.0365,132.722,128.8583,126.6553,125.4509,128.8074,129.3283,126.2929,123.384,124.0071,125.7414,124.5522,125.1441,126.7048,122.4542,116.9199,119.1898,123.831,121.806,116.7762,114.7391,119.6601,124.8662,119.7604,121.3562,116.5535,114.6563,106.7745,102.4046,106.7587,112.5783,112.6823,112.8295,112.3942,112.0024,113.9922,113.4036,110.981,109.4216,112.2427,115.619,113.1289,111.9623,115.4023,117.8868,111.5387,115.8455,117.0907,110.9603,109.4675,105.623,108.0589,,110.7002,106.4729,107.6821,108.4622,104.7482,97.211,97.9983,104.6423,108.344,106.2134,103.7817,109.3136,106.3356,106.2884,108.9576,109.3104,108.5759,104.791,106.4227,107.7959,109.4597,110.0554,105.7012,102.3969,104.2627,103.6234,106.0615,109.0124,110.2998,109.9683,112.7204,116.3238,114.5857,113.3674,110.9701,110.9591,113.7037,114.5101,115.3702,120.0064,119.4187,114.5513,117.0404,114.3832,114.3221,109.6561,110.7006,109.6531,111.8266,113.8718,113.8838,114.6651,115.061,116.9175,118.7248,118.1316,86.0973,109.025366667,1.2663041311
1414,72358,33020,Hollywood,FL,Miami-Fort Lauderdale,Broward,1415,54.2482,57.9965,60.1632,,57.4844,53.8727,58.2528,61.2244,,57.7882,51.205,51.5088,50.9513,52.754,54.2007,58.3453,56.588,55.6152,56.9162,56.3127,59.7056,54.9299,56.1304,60.8099,59.7811,58.29,60.2517,59.1148,61.5006,65.0689,67.6178,62.6999,60.7196,61.9684,62.9482,61.7501,59.0494,60.306,61.8159,64.3719,64.8673,65.4403,66.2544,69.5246,69.296,67.677,63.8323,68.2995,68.2892,70.8403,68.0371,70.7665,69.8436,72.3482,71.7372,72.9771,73.4002,70.666,70.15,70.1198,70.8443,71.9364,72.6476,79.988,77.7154,74.8983,77.4088,80.3093,86.6723,81.9044,75.7672,75.2824,83.7022,87.4311,83.5174,86.012,87.4123,88.1369,94.858,99.0837,97.9344,94.9991,100.4192,103.3747,108.5748,108.0637,109.9481,111.8834,116.1284,115.7904,112.0683,116.877,119.2532,124.821,116.1637,120.8775,112.8466,119.7553,128.2428,136.2789,144.0879,145.4643,141.1277,135.0111,137.9214,143.9816,150.7292,160.7017,163.6335,170.135,188.9414,194.7909,197.5805,197.3806,193.0365,189.7761,197.5688,204.3881,201.9882,201.1544,196.646,200.2312,212.4216,216.2632,206.7727,212.5922,210.9578,214.3018,224.2005,222.7432,206.4235,188.5033,193.7197,198.5918,192.7882,187.1835,203.1679,209.4554,218.5642,,159.0965,154.9397,,155.4684,145.0872,143.9827,140.7925,,,,,,135.699373695,127.7055,,113.6493,,121.4309,124.8052,110.1039,104.9548,89.4062,91.6477,88.3821,87.5138,85.5217,77.2835,78.6181,75.7022,77.6687,82.9927,84.5317,81.7349,89.6477,85.4198,89.5042,97.4059,94.2049,91.5965,84.4225,76.8572,71.2798,77.0206,85.0119,73.1261,69.5418,74.564,72.6628,77.2816,80.1146,78.5573,73.2729,76.1414,83.2804,91.2186,89.917,96.2844,94.2446,87.9914,84.8355,85.4257,82.2449,84.4129,89.3591,84.7067,98.6894,102.2794,103.0689,103.8041,115.7563,110.325,109.1867,113.2083,114.6807,100.0767,111.887,110.9243,114.6086,106.6672,120.4539,121.0246,129.5657,125.8025,127.5781,121.2037,116.4782,118.2995,121.2892,123.0733,127.4017,137.2427,142.7504,147.6782,157.7396,156.3432,66.7704666667,102.477366667,1.53477086177
1419,72158,32708,Winter Springs,FL,Orlando,Seminole,1420,60.9254,58.8609,61.3157,63.7454,63.9674,63.7888,63.8609,65.74,66.1463,62.9164,62.5002,62.3033,61.3133,61.8022,61.1501,63.6438,66.1848,64.9334,64.0379,63.8901,62.3255,62.1071,65.2152,65.359,64.5347,65.0493,65.3285,67.1516,66.9489,67.8097,66.6406,66.8196,65.1695,67.666,68.1938,70.327,67.7296,66.2414,67.2156,72.1756,74.4044,75.5131,73.848,73.3252,72.4697,70.4447,71.666,73.5915,75.9788,73.0752,74.4916,76.3021,76.8252,77.059,76.2602,74.4043,77.4481,77.2699,74.3849,76.7191,77.3248,78.0985,79.958,83.8334,86.204,85.5712,84.1899,80.2689,80.3966,81.921,79.1729,79.8211,81.6594,84.8891,82.5518,83.6608,84.2589,88.1151,90.0504,90.4569,91.5789,90.4593,87.9171,87.671,91.8568,93.059,94.1832,94.5666,96.7341,96.6167,98.7581,97.6012,99.1475,98.8793,97.9566,100.2428,100.0762,102.6481,104.2769,104.1103,107.3901,108.5712,110.3258,110.1749,109.2166,112.6053,114.7272,116.3278,119.5749,122.0289,126.952,133.4979,140.0952,145.32,150.0387,150.8165,154.4222,157.2048,157.079,157.6883,157.8931,159.6824,163.5608,165.9317,165.005,164.2249,162.5924,163.785,163.0585,160.325,157.7924,156.0237,166.69,164.5246,159.5482,154.3701,155.2332,151.3754,152.7088,143.4074,142.7625,137.6782,139.0629,141.8989,137.3679,134.2385,127.1324,130.8013,128.6743,127.3481,130.477,124.244,116.9171,118.0119,119.2999,118.0564,115.9666,109.4461,111.6259,114.7437,112.8498,110.4183,106.8958,105.1851,103.6718,104.4442,101.1167,94.7191,98.441,99.6469,96.2444,99.0685,98.8934,98.1616,93.8574,87.8178,85.5188,81.0737,81.3903,84.0944,85.5005,88.1471,88.9325,91.5669,88.216,83.8584,84.7813,86.5146,86.5921,84.1885,80.1281,80.0679,83.7256,86.7254,89.0489,92.0306,94.599,94.3388,89.6688,86.7836,91.1135,85.6779,90.2399,91.7741,98.0208,99.8697,102.5406,105.2372,104.9231,109.928,109.3742,108.7262,107.501,108.2113,112.3462,113.9854,113.0673,108.0835,112.0249,112.1003,115.911,114.1939,114.6521,118.8317,119.8287,116.4994,112.6666,114.8012,118.518,116.7378,119.9964,120.3451,119.5969,119.5464,117.6255,71.7935333333,101.1766,1.40927177285
1422,85871,63026,Fenton,MO,St. Louis,Saint Louis,1423,83.0106,83.4719,83.411,82.2926,82.0515,82.003,82.4046,82.4987,82.7259,83.9414,82.7808,78.7229,80.5625,81.3587,80.1402,80.7101,83.204,84.4849,84.8219,84.6458,88.5122,88.9492,88.7903,89.4064,88.9274,88.8239,88.5335,87.4754,85.1366,85.9263,85.6619,91.2882,94.8941,93.4375,94.9769,94.1261,93.8849,94.9257,95.9052,93.3308,92.2158,93.7275,96.044,99.945,102.9625,97.515,95.7093,100.5273,100.6698,101.3392,103.5016,99.8791,99.1019,101.2599,105.2433,102.9079,106.1518,106.1324,107.0272,109.2138,109.38,111.8722,108.3138,108.9433,114.0371,116.1927,116.3519,113.1507,112.2416,109.4901,112.9893,114.362,116.3805,119.6991,119.6607,118.1148,118.2708,115.7701,116.7564,114.3542,116.3292,118.5713,112.2254,116.3494,120.5898,124.2255,124.7725,122.6816,121.2198,121.051,121.5567,125.3897,124.3603,123.2974,120.525,122.5392,130.205,128.6161,125.9616,124.4564,129.3496,129.8708,133.816,136.4379,132.8918,129.2374,128.7017,132.1296,131.1583,135.6582,137.354,138.9093,143.3958,149.2481,150.1325,147.3376,147.7563,143.5189,136.7169,137.0682,140.4003,145.5146,147.7327,152.6908,145.1884,141.5458,139.1701,133.4369,137.3658,141.0043,147.6788,149.023,145.4752,146.7895,148.9767,151.4473,145.0672,143.3843,140.2331,141.7308,137.7794,133.097,137.2334,135.9534,137.3584,140.6847,142.1372,137.7938,130.7397,136.6784,139.5739,141.5769,138.6182,127.6582,128.3179,130.5293,130.7672,131.6716,131.8494,134.2863,133.9764,138.4875,135.8279,138.1901,145.1092,146.7558,133.4237,124.2606,131.622,139.7549,135.0946,142.9509,142.2601,132.3329,111.4289,120.7387,129.3911,130.6613,135.9371,133.5902,123.7862,127.2675,127.8941,128.0316,129.399,121.1946,122.5565,122.848,125.2658,123.8607,116.4436,121.4919,128.3982,129.2894,129.1211,128.5277,136.242,137.6519,133.1601,131.4029,128.2148,131.6381,131.1695,130.5876,132.2063,137.9481,138.7697,137.7438,141.3194,136.1133,139.4481,134.4136,130.1246,127.6135,137.6402,137.4165,135.277,142.2991,138.5683,136.7958,133.4328,137.9949,144.3623,143.9514,148.6595,142.4431,145.8799,141.6692,142.4775,143.134,150.5742,149.4132,146.6759,147.6921,146.6984,99.0283,135.0251,1.36350013077
1425,72536,33317,Plantation,FL,Miami-Fort Lauderdale,Broward,1426,61.3527,61.1954,62.5837,65.8668,63.9446,62.7083,62.3522,61.0176,63.883,60.5321,60.1976,61.0477,62.0057,60.7137,60.3654,60.7793,61.4859,60.8876,62.5307,63.5553,61.9543,64.6585,66.8182,65.6165,63.9236,61.1145,63.1419,62.4777,62.4266,62.654,64.321,62.638,60.8749,61.9071,64.9844,64.742,61.8393,60.2338,61.4537,67.7718,65.867,64.4811,65.7811,68.3093,66.8225,67.2872,59.9056,62.0106,66.4938,70.7844,71.8588,72.2783,67.9736,72.8804,75.673,74.5743,72.1983,71.9036,72.0242,72.5582,75.2925,78.4212,81.277,79.2245,80.1272,78.1798,80.0045,83.6424,83.7304,81.3354,79.6526,83.2072,88.0526,87.721,88.4258,92.4784,91.3982,92.0008,91.4813,95.6329,98.5366,96.6527,97.2108,97.2324,101.9628,105.1982,106.8647,107.441,109.1669,110.7761,108.3576,105.7152,104.593,108.6866,110.2786,116.6869,122.7057,126.7381,122.1483,123.7182,127.5367,133.0657,131.6977,135.1547,141.2249,142.484,144.0619,149.6786,156.0184,156.8903,164.4533,167.4682,173.7391,174.441,178.555,185.7807,182.7533,184.8309,184.7519,188.9402,178.813,180.1288,182.32,182.9061,188.5168,185.0626,176.0189,171.949,171.8862,176.3393,185.2872,180.4854,178.2377,174.9347,172.9758,160.8866,158.9802,160.5061,157.5738,162.4203,151.775,,,142.421159715,142.8965,137.6872,140.2202,127.3752,128.7166,,114.5368,109.5346,,108.7511,,125.221,116.5495,110.7695,110.8271,113.4951,113.7424,98.8153,100.9816,108.1436,107.7723,96.1836,92.1559,90.7035,85.9947,91.2624,84.4785,82.4801,83.6567,82.5991,80.9105,79.4456,68.2853,78.1275,85.7051,83.9276,81.682,84.0157,81.2753,81.0694,88.2001,84.6283,82.4363,79.0647,82.478,87.1966,80.2663,77.372,81.2434,86.4134,92.5728,99.2504,95.375,94.877,92.7547,92.4896,96.1097,93.1262,89.194,92.9582,101.6253,103.9363,104.1103,108.7206,102.9211,112.5893,115.0215,114.7657,113.0239,113.2843,121.9082,125.4398,123.3208,126.5325,130.8052,135.4433,130.3106,131.4174,135.8213,128.4424,123.1299,122.5634,125.7309,130.2569,134.7964,136.5113,134.7434,139.2546,140.6683,139.1951,131.6993,67.0326333333,94.3540666667,1.40758406726
1426,94847,85255,Scottsdale,AZ,Phoenix,Maricopa,1427,99.1673,99.5972,100.8796,99.266,101.8144,99.9861,101.0297,100.9947,102.3401,104.1692,105.3808,103.9945,101.9052,104.3489,104.269,104.5825,104.6193,105.9155,105.8092,104.3519,103.8774,104.9414,106.4991,107.4136,106.687,107.3256,106.99,108.387,106.4763,108.2877,108.5763,107.6456,108.1258,109.6618,111.2027,113.209,112.2548,114.9798,116.1563,116.0421,116.5575,118.4087,121.032,119.4894,118.2364,122.5584,125.4818,127.5186,130.0061,130.0327,130.0191,130.6234,130.3011,133.4004,132.563,133.6725,133.758,138.8218,139.993,140.9939,139.7821,139.8361,138.3326,141.1114,139.083,140.0945,144.3554,144.6664,145.1183,142.9296,142.425,146.4909,147.4098,148.6516,148.8289,148.0372,146.5105,148.1557,150.5328,155.5302,156.5248,155.5877,150.0839,146.6098,146.5331,149.6491,156.2535,159.9421,161.6295,161.8818,168.2857,168.9763,171.6454,170.1378,169.9702,173.6893,175.3865,179.4481,183.8744,188.4184,191.236,194.4095,198.7912,206.0614,211.895,217.867,224.2879,229.981,236.7415,246.7693,256.5643,263.1634,270.4372,274.5718,282.4048,288.7244,286.964,285.6936,286.9388,288.436,287.9081,292.1859,294.9002,293.7952,290.9885,285.0042,275.738,279.7514,283.3732,286.4536,286.9262,291.363,291.273,289.5746,288.8026,289.5513,282.8026,280.5899,284.0043,290.6074,281.8128,273.3906,277.5255,275.9576,263.455,258.0387,257.2408,253.4248,243.2787,238.7117,229.2546,222.4047,220.8133,229.4075,218.2095,208.5551,211.8479,207.8231,204.3786,193.1703,196.3553,199.6797,198.5355,194.065,196.3598,192.9623,190.3123,185.7734,182.324,186.8776,186.5335,181.815,182.0077,175.3949,176.5272,184.8388,186.7527,183.4679,181.2913,182.0081,179.4512,184.8688,188.5872,186.4813,175.7898,177.9349,184.0975,187.6861,180.7941,193.526,196.6596,195.5667,188.088,192.424,200.8235,201.4994,198.8209,190.4938,191.3606,193.762,199.0439,206.4009,203.8332,207.2101,212.9683,219.7038,217.8333,217.5447,212.5457,216.262,212.1259,217.8685,216.4653,208.1479,210.245,213.9566,226.1397,233.2352,231.6181,224.6095,218.5117,217.0434,222.2752,218.601,226.5775,225.0007,232.2919,224.5399,223.0815,220.6393,219.6921,220.545,226.3766,229.8444,221.1912,123.680666667,201.9459,1.6328008689
1431,63531,14450,Perinton,NY,Rochester,Monroe,1432,73.0966,73.284,73.5564,74.9234,73.9772,74.3842,77.4577,76.7527,77.3489,75.9954,74.3853,73.1183,74.0513,75.2999,76.4825,76.6856,76.3658,76.3356,77.6801,77.8679,74.6237,74.9736,74.6948,73.8805,74.1004,75.4034,76.3955,75.2346,76.2512,78.842,78.65,76.0718,75.6986,77.5746,76.1319,76.7223,79.715,79.9559,77.5845,77.8149,78.5627,78.0668,78.5169,79.724,79.6138,80.077,80.3775,80.1693,80.538,80.0478,80.4948,82.4553,83.4766,83.0875,83.2624,81.4121,79.3161,79.0177,82.1639,84.9003,84.7685,80.9088,82.4268,83.9217,84.3437,83.451,84.3031,83.1719,85.7433,84.273,82.9625,82.915,85.5093,86.3168,86.8855,85.9863,85.7961,86.2363,87.3314,88.5485,87.9301,88.5728,86.3558,86.2101,87.3751,88.0484,90.0182,92.4527,93.057,94.3114,95.1855,94.1506,92.5125,93.3862,94.1348,92.393,92.3139,95.5915,95.9377,96.2052,95.1302,95.4053,94.7375,94.1037,95.1248,97.6571,96.3881,93.9546,93.4684,95.9106,98.5102,101.7886,100.486,98.9736,99.3289,98.7729,97.0496,100.7293,102.426,101.4393,99.4945,100.0272,101.1843,101.1539,99.9626,101.8742,101.584,103.779,102.0426,100.5281,98.9465,98.5874,98.2393,101.4635,103.6138,102.5403,102.1129,102.7098,105.7605,102.716,100.2377,96.8253,97.9333,100.3187,101.6349,102.0294,103.1678,107.7528,106.6446,104.0446,101.7713,101.9945,101.4171,93.4009,83.7044,82.5225,87.8655,96.1156,101.3462,102.4282,101.4923,103.4344,101.7017,101.0271,99.0684,100.0381,98.9627,100.0993,99.7371,100.3007,99.4217,103.0626,106.9165,106.3663,102.8719,102.4398,97.8946,97.6483,98.3937,98.328,99.578,100.6513,104.1065,104.1901,102.0543,102.3631,103.9295,100.1396,95.3838,91.8135,90.4201,91.6529,95.2728,102.1858,103.1293,102.1742,102.307,99.7424,101.9528,105.9217,103.1506,99.124,100.7323,97.8801,97.0179,99.6722,105.0039,104.6875,104.9449,103.752,102.7668,108.2878,103.8001,98.1574,95.1093,96.4141,101.281,104.0903,104.6479,106.9083,107.43,105.3085,104.9663,108.1928,106.6295,105.7725,101.7481,101.6601,101.7327,103.9107,105.9125,106.6817,107.1523,107.6808,107.0975,78.8897666667,97.0291,1.22993265286
1432,67599,23224,Richmond,VA,Richmond,Richmond City,1433,43.9724,44.1347,45.8714,42.9083,41.5617,39.5098,38.9432,41.305,40.2663,42.195,41.0573,36.249,38.0183,42.7197,44.5009,46.6305,44.7613,44.6809,46.7784,45.0134,42.4388,42.0535,42.6453,40.26,40.1891,41.8801,42.0133,43.0913,48.5587,49.2509,48.8853,49.5126,47.2209,47.1883,45.6334,46.1045,45.9201,49.6779,47.6211,47.0663,46.444,46.1508,46.708,51.4034,49.2103,49.7879,49.0126,50.1299,51.4175,50.5285,51.1541,48.2254,52.3813,49.0766,50.1757,50.3578,50.1557,45.3357,47.6947,49.6892,50.8836,48.8779,49.2157,52.1834,54.3233,52.9272,53.1245,52.3168,49.2879,49.1074,48.5234,45.0997,48.6817,56.8278,56.4063,52.9031,55.17,57.1089,53.5565,51.9498,52.8008,53.791,50.7267,47.8173,49.522,51.9504,55.3936,60.9568,66.0144,64.0389,64.6834,58.4897,57.0322,60.6642,59.9241,58.8539,55.6142,53.3277,57.7521,58.2584,62.3724,63.8809,63.7344,64.0956,63.9255,65.2183,66.4684,69.6279,70.536,70.0823,67.954,72.4583,82.9971,84.2634,80.9272,78.8752,82.1046,76.8237,74.7035,75.2804,81.4835,90.1498,91.9174,93.9582,92.1272,89.5212,84.9878,82.7489,88.1723,86.7108,88.6119,87.8392,95.4686,94.5871,99.3151,99.2273,99.6067,89.1484,88.4441,88.8524,88.3579,86.7605,94.597,92.7567,82.713,83.7717,86.3756,81.4521,78.7333,77.9392,79.5703,81.9498,74.8301,66.5698,58.5302,62.4176,58.5889,64.5281,69.478,59.6675,54.8504,51.2741,57.6224,58.8772,54.7903,53.8501,50.1534,52.4978,53.3399,51.8701,44.4578,48.0661,49.0629,51.701,41.64,45.7203,43.3454,49.7532,44.2318,38.7006,44.3012,44.8923,45.3357,45.7299,42.8604,42.4992,50.1233,46.7335,38.2484,46.7905,42.6154,39.9834,44.17,49.4781,41.4182,40.4276,42.5777,48.5772,50.2381,45.5964,34.9911,42.4623,37.4925,37.4947,35.6189,49.3298,52.0011,49.215,53.5271,44.9513,45.298,,,,,,35.2644836272,,,,,46.4233247423,,,74.9250374813,,,,,,63.8227513228,,63.7479,72.1616,63.7929,47.4373,56.7243666667,1.1957756168
1433,58994,02920,Cranston,RI,Providence,Providence,1434,82.8693,84.9321,82.8922,85.6256,92.419,92.5148,86.2764,86.0977,83.3993,77.1843,,80.2498,80.7437,77.3166,80.0639,82.4512,80.2333,78.9292,89.0952,86.6662,85.786,77.8107,80.0009,86.8119,89.1159,85.5769,86.9177,82.9969,88.7955,86.6004,86.3643,84.1575,85.2191,90.8963,88.9394,93.1971,93.9151,92.2846,89.2771,93.8584,92.942,92.6191,88.1673,85.8997,89.2312,84.4781,86.4691,87.1208,93.7149,95.2116,98.2437,96.5875,98.097,98.48,99.0425,102.6077,104.1415,89.5309,87.4755,92.1733,101.8448,105.7172,105.4368,103.5637,110.8837,112.2183,118.1657,121.163,121.0142,118.3437,113.7601,118.3875,120.7774,125.2334,131.8497,131.4397,131.0182,129.1773,134.3725,135.1699,138.6933,143.2064,145.2563,146.3695,151.8054,146.9993,144.4023,157.2802,161.2983,169.7133,165.4895,165.0841,162.3725,161.6879,159.2105,165.4483,165.3687,178.5315,185.392,190.3384,190.066,188.4566,189.5296,188.4235,193.9261,192.0998,177.7039,181.5833,187.9349,196.1235,203.0258,204.5098,202.9588,205.3797,197.2593,202.4609,198.0857,208.8049,194.8529,191.243,202.4982,203.1075,199.7454,197.3472,198.8829,199.5778,199.7252,197.8229,198.7322,203.2942,209.2253,203.6268,198.2664,200.2131,199.0501,199.7761,197.5818,199.9309,199.0961,191.2752,176.9204,168.8941,176.0648,167.4858,165.1615,175.8273,188.7696,187.9002,166.4444,155.472,159.3517,159.7501,157.9976,152.8882,,,163.461538462,168.311,163.1419,162.0347,152.976,151.5783,152.8194,149.3487,152.3966,166.2416,161.7158,152.7961,144.3788,146.3443,146.6415,160.2991,166.807,158.6956,148.4039,,131.4684,150.328,154.1072,,143.0331,,141.6504,151.1023,,,161.971830986,142.1614,140.4706,,,141.242937853,127.4795,136.8676,132.2257,131.4707,130.4516,129.6154,127.0651,133.3235,136.2721,135.2008,129.6871,135.1663,148.1369,142.5664,132.928,133.9236,134.6507,131.5711,128.668,127.97,132.145,138.963,143.97,143.6561,149.5346,148.1805,157.3818,156.39,146.2829,144.5691,154.7392,149.6745,146.0919,139.299,,132.773,140.7857,155.3243,163.6833,162.1637,161.7184,158.6602,158.2987,88.3017666667,156.485933333,1.7721721687
