GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US01109,01109,"ZIP 01109 (Springfield, MA)",00,Total for all sectors,2010,316,7478,47197,199949
8610000US01111,01111,"ZIP 01111 (Springfield, MA)",00,Total for all sectors,2010,9,h,D,D
8610000US01115,01115,"ZIP 01115 (Springfield, MA)",00,Total for all sectors,2010,59,971,34180,109734
8610000US01116,01116,"ZIP 01116 (Longmeadow, MA)",00,Total for all sectors,2010,2,a,D,D
8610000US01118,01118,"ZIP 01118 (Springfield, MA)",00,Total for all sectors,2010,144,1718,11159,50086
8610000US01119,01119,"ZIP 01119 (Springfield, MA)",00,Total for all sectors,2010,138,3358,19472,84966
8610000US01128,01128,"ZIP 01128 (Springfield, MA)",00,Total for all sectors,2010,44,808,3414,13927
8610000US01129,01129,"ZIP 01129 (Springfield, MA)",00,Total for all sectors,2010,183,2837,14852,61721
8610000US01138,01138,"ZIP 01138 (Springfield, MA)",00,Total for all sectors,2010,6,21,74,615
8610000US01139,01139,"ZIP 01139 (Springfield, MA)",00,Total for all sectors,2010,2,c,D,D
8610000US01144,01144,"ZIP 01144 (Springfield, MA)",00,Total for all sectors,2010,41,1011,18536,69392
8610000US01151,01151,"ZIP 01151 (Indian Orchard, MA)",00,Total for all sectors,2010,132,1450,19623,85853
8610000US01199,01199,"ZIP 01199 (Springfield, MA)",00,Total for all sectors,2010,2,i,D,D
8610000US01201,01201,"ZIP 01201 (Pittsfield, MA)",00,Total for all sectors,2010,1293,22482,229594,985075
8610000US01202,01202,"ZIP 01202 (Pittsfield, MA)",00,Total for all sectors,2010,36,424,3983,18966
8610000US01203,01203,"ZIP 01203 (Pittsfield, MA)",00,Total for all sectors,2010,1,a,D,D
8610000US01220,01220,"ZIP 01220 (Adams, MA)",00,Total for all sectors,2010,175,1625,12351,55054
8610000US01222,01222,"ZIP 01222 (Ashley Falls, MA)",00,Total for all sectors,2010,14,43,347,1191
8610000US01223,01223,"ZIP 01223 (Becket, MA)",00,Total for all sectors,2010,47,270,1651,10541
8610000US01224,01224,"ZIP 01224 (Berkshire, MA)",00,Total for all sectors,2010,4,23,189,1041
8610000US01225,01225,"ZIP 01225 (Cheshire, MA)",00,Total for all sectors,2010,53,366,2623,12308
8610000US01226,01226,"ZIP 01226 (Dalton, MA)",00,Total for all sectors,2010,125,1673,15954,69445
8610000US01227,01227,"ZIP 01227 (Dalton, MA)",00,Total for all sectors,2010,8,47,209,1296
8610000US01229,01229,"ZIP 01229 (Glendale, MA)",00,Total for all sectors,2010,4,a,D,D
8610000US01230,01230,"ZIP 01230 (Great Barrington, MA)",00,Total for all sectors,2010,434,5028,35405,161491
8610000US01235,01235,"ZIP 01235 (Hinsdale, MA)",00,Total for all sectors,2010,46,249,1390,6836
8610000US01236,01236,"ZIP 01236 (Housatonic, MA)",00,Total for all sectors,2010,38,370,2586,11156
8610000US01237,01237,"ZIP 01237 (Lanesboro, MA)",00,Total for all sectors,2010,145,2291,9453,38271
8610000US01238,01238,"ZIP 01238 (Lee, MA)",00,Total for all sectors,2010,299,3215,22321,99384
8610000US01240,01240,"ZIP 01240 (Lenox, MA)",00,Total for all sectors,2010,235,3106,20556,94199
8610000US01242,01242,"ZIP 01242 (Lenox Dale, MA)",00,Total for all sectors,2010,19,105,726,3181
8610000US01243,01243,"ZIP 01243 (Middlefield, MA)",00,Total for all sectors,2010,6,24,129,649
8610000US01244,01244,"ZIP 01244 (Mill River, MA)",00,Total for all sectors,2010,6,a,D,D
8610000US01245,01245,"ZIP 01245 (Monterey, MA)",00,Total for all sectors,2010,28,130,1233,6600
8610000US01247,01247,"ZIP 01247 (North Adams, MA)",00,Total for all sectors,2010,360,4527,34523,147731
8610000US01252,01252,"ZIP 01252 (North Egremont, MA)",00,Total for all sectors,2010,6,5,39,301
8610000US01253,01253,"ZIP 01253 (Otis, MA)",00,Total for all sectors,2010,27,c,652,3088
